beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
0.2,5,0.95,0.2,11.414858670187586,9.007444200616861,60128.5,39544,657.6581820600879,0.29995516154950885,0.12906953203150492,0.23829928485308738
0.2,5,0.99,0.02,12.891693768686409,9.982860803587942,62135.666666666664,4756,76.54218993921901,0.36318223301106456,0.19954311976751513,0.32375581767198935
0.2,5,0.99,0.05,12.554232722675605,9.617309051839529,61756.666666666664,10284,166.5245317644519,0.35265322481180456,0.18030187814645557,0.3090149819252736
0.2,5,0.99,0.1,11.99950266804804,9.094664129017742,61144.333333333336,20390,333.47325726559563,0.3297933840444817,0.15683406998585045,0.27719360319575753
0.2,5,0.99,0.2,11.316714689594448,8.96277777407701,60435.75,43227,715.2554572417815,0.29352009550728747,0.1229906880684407,0.23308436278327127
0.2,10,0.9,0.02,12.861107972129497,10.006062714990563,62111.166666666664,3816,61.43822769389294,0.36417369181525694,0.20241182911550729,0.3301283197079992
0.2,10,0.9,0.05,12.842859731549808,9.652631322196067,61919.166666666664,8945,144.46253852468945,0.3533178231772,0.18400503649132605,0.3103273598587177
0.2,10,0.9,0.1,12.33826496270906,9.086599289613968,61083.916666666664,16680,273.0669693468139,0.3375373992436186,0.16517041715703554,0.29222945756924995
0.2,10,0.9,0.2,11.485045462282164,8.862473414480252,60808.416666666664,36080,593.3389155284151,0.30322196603917806,0.1326644526142891,0.24610207250752467
0.2,10,0.95,0.02,13.052933672380092,10.056576311847978,62064.5,4422,71.24845926415261,0.36597435107840837,0.20071363889629454,0.3280444633559837
0.2,10,0.95,0.05,12.56050824636843,9.37854274139173,61794.666666666664,9638,155.9681525913779,0.350666805545017,0.17959917697179073,0.30567967601484186
0.2,10,0.95,0.1,11.82915714263117,9.180095043282382,61230.416666666664,17924,292.73032874456464,0.33433117936704515,0.15838098469776152,0.2838639708184792
0.2,10,0.95,0.2,11.517212922576448,8.88863364925104,60310.083333333336,38101,631.751738584344,0.3017121800414159,0.12807389579547923,0.24123981255890073
0.2,10,0.99,0.02,12.883010679941606,9.68864781424674,61922.75,4670,75.41654723021828,0.3632436921147482,0.19720526894535287,0.32601982175739547
0.2,10,0.99,0.05,12.263784568005464,9.16645149671203,61587.083333333336,10150,164.80728507736333,0.34828350706305966,0.17536935832276526,0.30212192208640926
0.2,10,0.99,0.1,12.011780360508546,9.292983559512413,61056.166666666664,19596,320.950381752321,0.33196331644746147,0.15699429388093686,0.28128654766898126
0.2,10,0.99,0.2,11.086916012217594,8.895584194502062,60254.25,39845,661.2811544413879,0.2951702294675688,0.12386531152670001,0.22945415030419816
0.2,15,0.9,0.02,13.082799807579079,9.946719938198305,62109.75,4120,66.33419068664742,0.3665481056485422,0.20274963457874537,0.3308160857091959
0.2,15,0.9,0.05,12.616352891774667,9.557839986574459,61547.5,8498,138.07222064259312,0.3550427090901131,0.18558792242134758,0.31417787831182464
0.2,15,0.9,0.1,12.293522657254902,9.424251381983623,61537.5,16936,275.214300223441,0.3382738759572624,0.16548676641864393,0.29075414968901087
0.2,15,0.9,0.2,11.526789891483581,8.886168208861102,60453.833333333336,35227,582.7091196312338,0.3047151513700139,0.1310511165317005,0.24397901057156476
0.2,15,0.95,0.02,13.280759982668036,9.651341663252765,62104.5,4736,76.25856419422102,0.36253677545528246,0.19679571206712265,0.32421810837955384
0.2,15,0.95,0.05,12.880520616573849,9.449697481974606,61687.166666666664,9764,158.28251689303286,0.35281107134211087,0.18257242209248412,0.31187959167467216
0.2,15,0.95,0.1,12.0223573291057,9.108614364103913,60985.75,18183,298.1516173860287,0.3328869347531818,0.15868604775873804,0.28265136752373093
0.2,15,0.95,0.2,11.360439266467907,8.897529775049222,60359.916666666664,38079,630.8656821096782,0.2999707937923514,0.1288953775383559,0.23730824288043487
0.2,15,0.99,0.02,13.087260336937847,9.76012864080735,61907.833333333336,4864,78.5684094904522,0.36382267622830633,0.19583492724960005,0.3240033462165108
0.2,15,0.99,0.05,12.51624299510477,9.681869729295853,61720.0,10319,167.1905379131562,0.35180167231632103,0.18040685082674393,0.30786579119623997
0.2,15,0.99,0.1,11.938229277468588,9.096564038482624,61050.333333333336,19674,322.258682726275,0.3321724111279636,0.15485947346617315,0.27973569071553506
0.2,15,0.99,0.2,11.207492802245104,8.78921905349459,60267.5,40682,675.023851993197,0.294433972627598,0.12271263370367164,0.23008858211954267
